date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:55	105/105	---M-Z	200	added ('OK')	text/plain	date:Wed,%2012%20Feb%202014%2007:44:03%20GMT	http://www.icme2014.org/robots.txt		(from )
15:43:55	28783/28783	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Feb%202014%2007:17:24%20GMT	http://www.icme2014.org/	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/index.html	(from )
15:43:56	3147/3147	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/app/images/apple-touch-icon.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/app/images/apple-touch-icon.png	(from http://www.icme2014.org/)
15:43:57	42186/42186	---MC-	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/app/css/codemirror_css.css	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/app/css/codemirror_css.css	(from http://www.icme2014.org/)
15:43:58	25367/25367	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202014%2007:44:05%20GMT	http://www.icme2014.org/CSI/	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/CSI/index.html	(from http://www.icme2014.org/)
15:43:58	8590/8590	---MC-	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/app/css/trogedit.css	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/app/css/trogedit.css	(from http://www.icme2014.org/)
15:43:59	16941/16941	---MC-	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202014%2007:44:06%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/css/editor.css	(from http://www.icme2014.org/)
15:43:59	1032/1032	---MC-	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/app/css/codeeditor.css	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/app/css/codeeditor.css	(from http://www.icme2014.org/)
15:43:59	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/app/images/cleardot.gif	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/app/images/cleardot.gif	(from http://www.icme2014.org/)
15:43:59	13630/13630	---MC-	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202014%2007:44:07%20GMT	http://www.icme2014.org/_/rsrc/1391603670000/system/app/css/camelot/editor-jfk.css	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1391603670000/system/app/css/camelot/editor-jfk.css	(from http://www.icme2014.org/)
