date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:07	105/105	---M-Z	200	added ('OK')	text/plain	date:Wed,%2011%20Jun%202014%2012:23:45%20GMT	http://www.icme2014.org/robots.txt		(from )
20:18:07	41368/41368	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202014%2012:16:47%20GMT	http://www.icme2014.org/	E:/ICME2014/ICME2014/www.icme2014.org/index.html	(from )
20:18:07	3147/3147	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/app/images/apple-touch-icon.png	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/app/images/apple-touch-icon.png	(from http://www.icme2014.org/)
20:18:09	28559/28559	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Jun%202014%2012:23:46%20GMT	http://www.icme2014.org/CSI/	E:/ICME2014/ICME2014/www.icme2014.org/CSI/index.html	(from http://www.icme2014.org/)
20:18:09	42186/42186	---MC-	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/app/css/codemirror_css.css	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/app/css/codemirror_css.css	(from http://www.icme2014.org/)
20:18:10	8590/8590	---MC-	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/app/css/trogedit.css	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/app/css/trogedit.css	(from http://www.icme2014.org/)
20:18:11	16941/16941	---MC-	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202014%2012:23:48%20GMT	http://www.icme2014.org/_/rsrc/1401942180000/system/app/css/editor.css	E:/ICME2014/ICME2014/www.icme2014.org/_/rsrc/1401942180000/system/app/css/editor.css	(from http://www.icme2014.org/)
20:18:11	1032/1032	---MC-	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/app/css/codeeditor.css	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/app/css/codeeditor.css	(from http://www.icme2014.org/)
20:18:12	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/app/images/cleardot.gif	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/app/images/cleardot.gif	(from http://www.icme2014.org/)
20:18:12	13630/13630	---MC-	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202014%2012:23:50%20GMT	http://www.icme2014.org/_/rsrc/1401942180000/system/app/css/camelot/editor-jfk.css	E:/ICME2014/ICME2014/www.icme2014.org/_/rsrc/1401942180000/system/app/css/camelot/editor-jfk.css	(from http://www.icme2014.org/)
20:18:13	41384/41384	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202014%2012:16:47%20GMT	http://www.icme2014.org/home	E:/ICME2014/ICME2014/www.icme2014.org/home.html	(from http://www.icme2014.org/)
20:18:16	2021/2021	---MC-	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202014%2012:23:52%20GMT	http://www.icme2014.org/_/rsrc/1401942180000/system/app/css/overlay.css?cb=solitudenavy1000px200goog-ws-leftcontent30middlecenter	E:/ICME2014/ICME2014/www.icme2014.org/_/rsrc/1401942180000/system/app/css/overlay6de5.css	(from http://www.icme2014.org/)
20:18:17	2225/2225	---MC-	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202014%2012:23:53%20GMT	http://www.icme2014.org/_/rsrc/1401942180000/system/app/css/camelot/allthemes-view.css	E:/ICME2014/ICME2014/www.icme2014.org/_/rsrc/1401942180000/system/app/css/camelot/allthemes-view.css	(from http://www.icme2014.org/)
20:18:21	191495/191495	---MC-	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/app/themes/solitudenavy/standard-css-solitudenavy-ltr-ltr.css	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/app/themes/solitudenavy/standard-css-solitudenavy-ltr-ltr.css	(from http://www.icme2014.org/)
20:18:23	26756/26756	---MC-	200	added ('OK')	text/javascript	date:Tue,%2008%20Apr%202014%2019:49:19%20GMT	http://www.gstatic.com/caja/5678/caja.js	E:/ICME2014/ICME2014/www.gstatic.com/caja/5678/caja.js	(from http://www.icme2014.org/)
20:18:25	32070/32070	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/organizing-committee	E:/ICME2014/ICME2014/www.icme2014.org/organizing-committee.html	(from http://www.icme2014.org/)
20:18:26	32631/32631	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/important-dates	E:/ICME2014/ICME2014/www.icme2014.org/important-dates.html	(from http://www.icme2014.org/)
20:18:27	34647/34647	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/call-for-papers	E:/ICME2014/ICME2014/www.icme2014.org/call-for-papers.html	(from http://www.icme2014.org/)
20:18:29	35192/35192	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/call-for-workshop-proposals	E:/ICME2014/ICME2014/www.icme2014.org/call-for-workshop-proposals.html	(from http://www.icme2014.org/)
20:18:30	32267/32267	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/call-for-tutorial-proposals	E:/ICME2014/ICME2014/www.icme2014.org/call-for-tutorial-proposals.html	(from http://www.icme2014.org/)
20:18:31	33002/33002	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/call-for-special-session-proposals	E:/ICME2014/ICME2014/www.icme2014.org/call-for-special-session-proposals.html	(from http://www.icme2014.org/)
20:18:32	32722/32722	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/call-for-demonstrations	E:/ICME2014/ICME2014/www.icme2014.org/call-for-demonstrations.html	(from http://www.icme2014.org/)
20:18:34	37987/37987	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/keynotes	E:/ICME2014/ICME2014/www.icme2014.org/keynotes.html	(from http://www.icme2014.org/)
20:18:35	70508/70508	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/oral-sessions	E:/ICME2014/ICME2014/www.icme2014.org/oral-sessions.html	(from http://www.icme2014.org/)
20:18:36	104093/104093	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Jun%202014%2005:56:28%20GMT	http://www.gstatic.com/sites/p/e65b43/system/js/jot_caja.js	E:/ICME2014/ICME2014/www.gstatic.com/sites/p/e65b43/system/js/jot_caja.js	(from http://www.icme2014.org/)
20:18:37	67919/67919	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/poster-sessions	E:/ICME2014/ICME2014/www.icme2014.org/poster-sessions.html	(from http://www.icme2014.org/)
20:18:37	34649/34649	---MCZ	200	added ('OK')	text/html	etag:%221402489007846|#public|0|en|||0%22	http://www.icme2014.org/special-sessions-1	E:/ICME2014/ICME2014/www.icme2014.org/special-sessions-1.html	(from http://www.icme2014.org/)
